,연료원,전력거래량,Year,Month,Day
655,LNG,14244,2021,5,12
656,바이오,99,2021,5,12
657,연료전지,1225,2021,5,12
658,태양광,72,2021,5,12
659,폐기물,0,2021,5,12
660,LNG,14164,2021,5,13
661,바이오,100,2021,5,13
662,연료전지,1216,2021,5,13
663,태양광,72,2021,5,13
664,폐기물,0,2021,5,13
665,LNG,15166,2021,5,14
666,바이오,95,2021,5,14
667,연료전지,1241,2021,5,14
668,태양광,65,2021,5,14
669,폐기물,30,2021,5,14
670,LNG,14664,2021,5,15
671,바이오,94,2021,5,15
672,연료전지,1252,2021,5,15
673,태양광,26,2021,5,15
674,폐기물,96,2021,5,15
675,LNG,14228,2021,5,16
676,바이오,95,2021,5,16
677,연료전지,1236,2021,5,16
678,태양광,7,2021,5,16
679,폐기물,95,2021,5,16
680,LNG,15129,2021,5,17
681,바이오,100,2021,5,17
682,연료전지,1234,2021,5,17
683,태양광,16,2021,5,17
684,폐기물,8,2021,5,17
685,LNG,13543,2021,5,18
686,바이오,96,2021,5,18
687,연료전지,1239,2021,5,18
688,태양광,66,2021,5,18
689,폐기물,90,2021,5,18
690,LNG,5735,2021,5,19
691,바이오,101,2021,5,19
692,연료전지,1249,2021,5,19
693,태양광,79,2021,5,19
694,폐기물,84,2021,5,19
695,LNG,12033,2021,5,20
696,바이오,101,2021,5,20
697,연료전지,1249,2021,5,20
698,태양광,20,2021,5,20
699,폐기물,105,2021,5,20
700,LNG,13822,2021,5,21
701,바이오,101,2021,5,21
702,연료전지,1256,2021,5,21
703,태양광,22,2021,5,21
704,폐기물,108,2021,5,21
705,LNG,13585,2021,5,22
706,바이오,101,2021,5,22
707,연료전지,1260,2021,5,22
708,태양광,76,2021,5,22
709,폐기물,227,2021,5,22
710,LNG,13538,2021,5,23
711,바이오,101,2021,5,23
712,연료전지,1249,2021,5,23
713,태양광,54,2021,5,23
714,폐기물,210,2021,5,23
715,LNG,14008,2021,5,24
716,바이오,101,2021,5,24
717,연료전지,1243,2021,5,24
718,태양광,71,2021,5,24
719,폐기물,196,2021,5,24
720,LNG,14512,2021,5,25
721,바이오,82,2021,5,25
722,연료전지,1261,2021,5,25
723,태양광,50,2021,5,25
724,폐기물,194,2021,5,25
725,LNG,15234,2021,5,26
726,바이오,96,2021,5,26
727,연료전지,1248,2021,5,26
728,태양광,55,2021,5,26
729,폐기물,207,2021,5,26
730,LNG,14442,2021,5,27
731,바이오,95,2021,5,27
732,연료전지,1252,2021,5,27
733,태양광,25,2021,5,27
734,폐기물,205,2021,5,27
735,LNG,14790,2021,5,28
736,바이오,99,2021,5,28
737,연료전지,1250,2021,5,28
738,태양광,31,2021,5,28
739,폐기물,195,2021,5,28
740,LNG,14060,2021,5,29
741,바이오,101,2021,5,29
742,연료전지,1253,2021,5,29
743,태양광,29,2021,5,29
744,폐기물,199,2021,5,29
745,LNG,13331,2021,5,30
746,바이오,101,2021,5,30
747,연료전지,1249,2021,5,30
748,태양광,77,2021,5,30
749,폐기물,204,2021,5,30
750,LNG,14511,2021,5,31
751,바이오,96,2021,5,31
752,연료전지,1245,2021,5,31
753,태양광,42,2021,5,31
754,폐기물,199,2021,5,31
755,LNG,14317,2021,6,1
756,바이오,98,2021,6,1
757,연료전지,1244,2021,6,1
758,태양광,40,2021,6,1
759,폐기물,205,2021,6,1
760,LNG,14568,2021,6,2
761,바이오,100,2021,6,2
762,연료전지,919,2021,6,2
763,태양광,71,2021,6,2
764,폐기물,119,2021,6,2
765,LNG,14694,2021,6,3
766,바이오,101,2021,6,3
767,연료전지,983,2021,6,3
768,태양광,14,2021,6,3
769,폐기물,61,2021,6,3
770,LNG,14192,2021,6,4
771,바이오,100,2021,6,4
772,연료전지,1185,2021,6,4
773,태양광,78,2021,6,4
774,폐기물,302,2021,6,4
775,LNG,13868,2021,6,5
776,바이오,101,2021,6,5
777,연료전지,1242,2021,6,5
778,태양광,58,2021,6,5
779,폐기물,406,2021,6,5
780,LNG,13758,2021,6,6
781,바이오,98,2021,6,6
782,연료전지,1237,2021,6,6
783,태양광,60,2021,6,6
784,폐기물,420,2021,6,6
785,LNG,14414,2021,6,7
786,바이오,81,2021,6,7
787,연료전지,1241,2021,6,7
788,태양광,21,2021,6,7
789,폐기물,484,2021,6,7
790,LNG,14325,2021,6,8
791,바이오,99,2021,6,8
792,연료전지,1235,2021,6,8
793,태양광,54,2021,6,8
794,폐기물,468,2021,6,8
795,LNG,13760,2021,6,9
796,바이오,100,2021,6,9
797,연료전지,1239,2021,6,9
798,태양광,62,2021,6,9
799,폐기물,407,2021,6,9
800,LNG,14734,2021,6,10
801,바이오,100,2021,6,10
802,연료전지,1240,2021,6,10
803,태양광,39,2021,6,10
804,폐기물,517,2021,6,10
805,LNG,14541,2021,6,11
806,바이오,93,2021,6,11
807,연료전지,1221,2021,6,11
808,태양광,35,2021,6,11
809,폐기물,533,2021,6,11
810,LNG,14686,2021,6,12
811,바이오,96,2021,6,12
812,연료전지,1205,2021,6,12
813,태양광,67,2021,6,12
814,폐기물,533,2021,6,12
815,LNG,13418,2021,6,13
816,바이오,100,2021,6,13
817,연료전지,1203,2021,6,13
818,태양광,70,2021,6,13
819,폐기물,533,2021,6,13
820,LNG,15204,2021,6,14
821,바이오,96,2021,6,14
822,연료전지,1215,2021,6,14
823,태양광,58,2021,6,14
824,폐기물,509,2021,6,14
825,LNG,15321,2021,6,15
826,바이오,101,2021,6,15
827,연료전지,1237,2021,6,15
828,태양광,20,2021,6,15
829,폐기물,514,2021,6,15
830,LNG,14450,2021,6,16
831,바이오,98,2021,6,16
832,연료전지,1202,2021,6,16
833,태양광,62,2021,6,16
834,폐기물,336,2021,6,16
835,LNG,14902,2021,6,17
836,바이오,69,2021,6,17
837,연료전지,1225,2021,6,17
838,태양광,28,2021,6,17
839,폐기물,443,2021,6,17
840,LNG,14944,2021,6,18
841,바이오,50,2021,6,18
842,연료전지,1224,2021,6,18
843,태양광,15,2021,6,18
844,폐기물,512,2021,6,18
845,LNG,14840,2021,6,19
846,바이오,50,2021,6,19
847,연료전지,1218,2021,6,19
848,태양광,70,2021,6,19
849,폐기물,500,2021,6,19
850,LNG,12065,2021,6,20
851,바이오,49,2021,6,20
852,연료전지,1217,2021,6,20
853,태양광,66,2021,6,20
854,폐기물,523,2021,6,20
855,LNG,9708,2021,6,21
856,바이오,49,2021,6,21
857,연료전지,1212,2021,6,21
858,태양광,66,2021,6,21
859,폐기물,504,2021,6,21
860,LNG,15704,2021,6,22
861,바이오,49,2021,6,22
862,연료전지,1217,2021,6,22
863,태양광,55,2021,6,22
864,폐기물,509,2021,6,22
865,LNG,14346,2021,6,23
866,바이오,49,2021,6,23
867,연료전지,1234,2021,6,23
868,태양광,58,2021,6,23
869,폐기물,519,2021,6,23
870,LNG,15021,2021,6,24
871,바이오,49,2021,6,24
872,연료전지,1236,2021,6,24
873,태양광,57,2021,6,24
874,폐기물,520,2021,6,24
875,LNG,13766,2021,6,25
876,바이오,49,2021,6,25
877,연료전지,1239,2021,6,25
878,태양광,65,2021,6,25
